key,a,backspace,d,e,f,g,q,r,s,space,w
a,13,0,0,0,1,0,0,0,0,3,3
backspace,0,21,0,0,2,0,0,2,0,0,0
d,0,0,14,1,0,0,1,1,2,1,0
e,1,0,2,10,0,2,0,1,3,0,0
f,1,0,1,1,11,4,0,3,0,1,1
g,0,0,0,1,1,10,1,2,0,3,0
q,2,0,0,0,0,0,13,1,0,0,1
r,0,0,2,4,3,4,0,11,0,0,0
s,3,0,1,1,1,1,0,1,9,0,2
space,1,0,1,0,0,2,0,0,0,11,3
w,1,0,1,1,0,0,1,1,2,1,10
