prev_key,curr_key,time_delay
o,r,0.10500001907348633
r,t,0.18804073333740234
t,h,0.09201526641845703
h,space,0.07394933700561523
o,n,0.10605168342590332
n,space,0.08099985122680664
t,h,0.1029975414276123
h,i,0.05699801445007324
i,s,0.08605504035949707
s,space,0.12198638916015625
c,o,0.0859529972076416
o,n,0.058995962142944336
n,t,0.14105677604675293
t,i,0.12794280052185059
i,n,0.09203839302062988
n,e,0.16601920127868652
e,n,0.15798258781433105
n,t,0.09400248527526855
t,space,0.14501428604125977
a,space,0.16699814796447754
n,e,0.08204197883605957
e,w,0.11601495742797852
w,space,0.12294316291809082
n,a,0.11905503273010254
a,t,0.09094500541687012
t,i,0.0760345458984375
i,o,0.05301308631896973
o,n,0.08595085144042969
n,space,0.1119992733001709
c,o,0.21905303001403809
o,n,0.059984445571899414
n,c,0.10295867919921875
c,e,0.2290031909942627
e,i,0.1370391845703125
i,v,0.2100203037261963
v,e,0.20093703269958496
e,d,0.19499969482421875
d,space,0.13605666160583496
i,n,0.10195755958557129
n,space,0.09303474426269531
shift,L,0.18594837188720703
L,i,0.22199559211730957
i,b,0.08004021644592285
b,e,0.23095965385437012
e,r,0.12404274940490723
r,t,0.2320103645324707
t,y,0.16894912719726562
y,space,0.08005762100219727
a,n,0.1250007152557373
n,d,0.0859823226928711
d,space,0.09596085548400879
d,e,0.16099786758422852
e,d,0.1890125274658203
d,i,0.10800504684448242
i,c,0.13397693634033203
c,a,0.216019868850708
a,t,0.056951045989990234
t,e,0.12403512001037598
e,d,0.16901254653930664
d,space,0.13600444793701172
t,o,0.11694741249084473
o,space,0.08503532409667969
t,h,0.10500216484069824
h,e,0.023992538452148438
e,space,0.16800832748413086
p,r,0.12800383567810059
r,o,0.13500094413757324
o,p,0.16099810600280762
p,o,0.13003873825073242
o,s,0.27495813369750977
s,i,0.19304203987121582
i,t,0.15596294403076172
t,i,0.0729985237121582
i,o,0.06699919700622559
o,n,0.11199665069580078
n,space,0.08305954933166504
t,h,0.12199640274047852
h,a,0.04599761962890625
a,t,0.10496902465820312
t,space,0.053047895431518555
a,l,0.07498717308044434
l,l,0.1389622688293457
l,space,0.1459946632385254
m,e,0.11400198936462402
e,n,0.11894416809082031
n,space,0.0830545425415039
a,r,0.09203767776489258
r,e,0.06900906562805176
e,space,0.12196660041809082
c,r,0.23694467544555664
r,e,0.11400270462036133
e,a,0.10899829864501953
a,t,0.09299945831298828
t,e,0.06905484199523926
e,d,0.1929488182067871
d,space,0.1549971103668213
e,q,0.17400026321411133
q,u,0.3900020122528076
u,a,0.2219998836517334
a,l,0.14499974250793457
n,o,0.08900141716003418
o,w,0.13000082969665527
w,space,0.12900185585021973
w,e,0.1080009937286377
e,space,0.14200305938720703
a,r,0.0989997386932373
r,e,0.05099964141845703
e,space,0.14800024032592773
e,n,0.17003560066223145
n,g,0.13400602340698242
g,a,0.23295807838439941
a,g,0.14999914169311523
g,e,0.11599850654602051
e,d,0.16805720329284668
d,space,0.20098257064819336
i,n,0.07500386238098145
n,space,0.08794760704040527
n,o,0.09704422950744629
o,w,0.10301470756530762
w,space,0.13737988471984863
w,e,0.13300323486328125
e,space,0.14403986930847168
a,r,0.0989835262298584
r,e,0.057034969329833984
e,space,0.12796258926391602
e,n,0.17203927040100098
n,g,0.047959327697753906
g,a,0.307051420211792
a,g,0.18395185470581055
g,e,0.18105292320251465
e,d,0.18900060653686523
d,space,0.2989468574523926
b,u,0.13700056076049805
u,t,0.17003917694091797
t,space,0.12800002098083496
i,n,0.0870356559753418
n,space,0.11896038055419922
a,space,0.17799639701843262
l,a,0.07694482803344727
a,r,0.09599900245666504
r,g,0.20003747940063477
g,e,0.15096354484558105
e,r,0.0970001220703125
r,space,0.14503717422485352
s,e,0.09800505638122559
e,n,0.1329953670501709
n,s,0.08305692672729492
s,e,0.10099959373474121
e,space,0.1629948616027832
w,e,0.07999920845031738
e,space,0.1459975242614746
c,a,0.22906208038330078
a,n,0.15193700790405273
n,space,0.15304279327392578
n,o,0.08694982528686523
o,t,0.07799673080444336
t,space,0.1770000457763672
d,e,0.18628406524658203
e,d,0.18271827697753906
d,i,0.13399863243103027
i,c,0.10402059555053711
c,a,0.17945241928100586
a,t,0.07899689674377441
t,e,0.09703779220581055
e,space,0.149003267288208
w,e,0.06496310234069824
e,space,0.1660022735595703
c,a,0.24097728729248047
a,n,0.11798214912414551
n,o,0.22099947929382324
o,t,0.14600396156311035
t,space,0.14104270935058594
c,o,0.13199925422668457
o,n,0.07004714012145996
n,s,0.058005571365356445
s,e,0.12735986709594727
e,c,0.2190399169921875
c,r,0.18701410293579102
r,e,0.08894109725952148
e,a,0.10807037353515625
a,t,0.06998777389526367
t,e,0.03699827194213867
e,space,0.15294313430786133
w,e,0.07203936576843262
e,space,0.14195775985717773
c,a,0.18005776405334473
a,n,0.12294173240661621
n,space,0.10199952125549316
n,o,0.09100079536437988
o,t,0.10499691963195801
t,space,0.16206932067871094
h,a,0.12795376777648926
a,l,0.11722660064697266
l,l,0.15296363830566406
l,o,0.17405486106872559
o,w,0.1049797534942627
w,space,0.14101481437683105
t,h,0.050966501235961914
h,i,0.0690009593963623
i,s,0.09705233573913574
s,space,0.11549091339111328
g,r,0.1900007724761963
r,o,0.08299970626831055
o,u,0.0850365161895752
u,n,0.17896318435668945
n,d,0.2239997386932373
d,space,0.16904854774475098
t,h,0.10399746894836426
h,e,0.07600021362304688
e,space,0.12400150299072266
b,r,0.21860671043395996
r,a,0.10496902465820312
a,v,0.15599870681762695
v,e,0.19003868103027344
e,space,0.11401581764221191
m,e,0.0860593318939209
e,n,0.11899375915527344
n,space,0.08194637298583984
l,i,0.0709984302520752
i,v,0.08600378036499023
v,i,0.13899636268615723
i,n,0.06504273414611816
n,g,0.07096099853515625
g,space,0.13499689102172852
a,n,0.1029520034790039
n,d,0.10699701309204102
d,space,0.10300087928771973
d,e,0.16100358963012695
e,a,0.14504456520080566
a,d,0.10895514488220215
d,space,0.15799570083618164
w,h,0.1080465316772461
h,o,0.06195712089538574
o,space,0.09205341339111328
s,t,0.14499998092651367
t,r,0.1730365753173828
r,u,0.1144249439239502
u,g,0.08899664878845215
g,g,0.15020537376403809
g,l,0.1120004653930664
l,e,0.11707329750061035
e,d,0.1742246150970459
d,space,0.29373836517333984
h,e,0.10399913787841797
e,r,0.09400224685668945
r,e,0.11903691291809082
e,space,0.14200139045715332
h,a,0.09101152420043945
a,v,0.12902545928955078
v,e,0.1519625186920166
e,space,0.13400006294250488
c,o,0.09200143814086914
o,n,0.0690007209777832
n,s,0.08103179931640625
s,e,0.2109682559967041
e,c,0.20299839973449707
c,r,0.19100022315979004
r,e,0.1099996566772461
e,a,0.10900139808654785
a,t,0.1289994716644287
t,e,0.04399847984313965
e,d,0.1920020580291748
d,space,0.1419985294342041
i,t,0.14299798011779785
t,space,0.10799884796142578
f,a,0.14500045776367188
a,r,0.23799824714660645
r,space,0.12800145149230957
a,b,0.140000581741333
b,o,0.1400449275970459
o,v,0.10095095634460449
v,e,0.15399956703186035
e,space,0.0970451831817627
o,u,0.10300350189208984
u,r,0.14299893379211426
r,space,0.003998279571533203
i,t,0.12499570846557617
t,space,0.11100339889526367
i,s,0.12996840476989746
s,space,0.13405561447143555
r,a,0.15000081062316895
a,t,0.08600020408630371
t,h,0.1289985179901123
h,e,0.03400087356567383
e,r,0.08099722862243652
r,space,0.14500045776367188
f,o,0.13106632232666016
o,r,0.11193203926086426
r,space,0.08500003814697266
u,s,0.11199784278869629
s,space,0.1130514144897461
t,h,0.07993793487548828
h,e,0.09500432014465332
e,space,0.09903693199157715
l,i,0.07394647598266602
i,v,0.07206082344055176
v,i,0.1499645709991455
i,n,0.0850365161895752
n,g,0.04399371147155762
g,space,0.13894414901733398
w,e,0.086944580078125
e,space,0.12300252914428711
h,e,0.059977054595947266
e,r,0.13900113105773926
r,e,0.15399527549743652
e,space,0.259002685546875
b,e,0.1759963035583496
e,space,0.21600008010864258
d,e,0.15305352210998535
e,d,0.17200064659118652
d,i,0.11194539070129395
i,c,0.10800004005432129
c,a,0.1719965934753418
a,t,0.06205177307128906
t,e,0.09794783592224121
e,d,0.18100452423095703
d,space,0.1069951057434082
t,o,0.10901498794555664
o,space,0.05495119094848633
t,h,0.12605881690979004
h,e,0.031943321228027344
e,space,0.13599801063537598
g,r,0.17295312881469727
r,e,0.08799552917480469
e,a,0.11403799057006836
a,t,0.07601690292358398
t,space,0.10094857215881348
t,a,0.10999679565429688
a,s,0.12800025939941406
s,k,0.09400010108947754
k,space,0.07000374794006348
r,e,0.0769808292388916
e,m,0.06699299812316895
m,a,0.1719653606414795
a,i,0.11105585098266602
i,n,0.09100556373596191
n,i,0.11494207382202148
i,n,0.06299638748168945
n,g,0.11400294303894043
g,space,0.10505867004394531
b,e,0.18101263046264648
e,f,0.08998727798461914
f,o,0.1579437255859375
o,r,0.04900336265563965
r,e,0.08100032806396484
e,space,0.10400032997131348
u,s,0.06705403327941895
s,space,0.13000249862670898
t,h,0.0619959831237793
h,a,0.09905385971069336
a,t,0.06600213050842285
t,space,0.09594845771789551
f,r,0.185014009475708
r,o,0.04700136184692383
o,m,0.14801287651062012
m,space,0.09693765640258789
t,h,0.13300204277038574
h,e,0.055997610092163086
e,s,0.1310570240020752
s,e,0.08500146865844727
e,space,0.1619412899017334
h,o,0.08003473281860352
o,n,0.12096524238586426
n,o,0.08900022506713867
o,r,0.1400003433227539
r,e,0.0899960994720459
e,d,0.16804218292236328
d,space,0.13996148109436035
d,e,0.20699715614318848
e,a,0.13794445991516113
a,d,0.14999961853027344
d,space,0.24199986457824707
w,e,0.056999921798706055
e,space,0.1300032138824463
t,a,0.12000012397766113
a,k,0.12399578094482422
k,e,0.11205458641052246
e,space,0.3309481143951416
i,n,0.06796526908874512
n,c,0.14999628067016602
c,r,0.2200002670288086
r,e,0.08400154113769531
e,a,0.1379995346069336
a,s,0.10999941825866699
s,e,0.09300374984741211
e,d,0.253002405166626
d,space,0.2169954776763916
d,e,0.16899824142456055
e,v,0.2010023593902588
v,o,0.10899949073791504
o,t,0.15400052070617676
t,i,0.08699727058410645
i,o,0.061002492904663086
o,n,0.07399845123291016
n,space,0.07000136375427246
t,o,0.1119682788848877
o,space,0.03699922561645508
t,h,0.09299921989440918
h,a,0.06599760055541992
a,t,0.07600212097167969
t,space,0.06599974632263184
c,a,0.18500161170959473
a,u,0.1639995574951172
u,s,0.04200029373168945
s,e,0.07199811935424805
e,space,0.10799860954284668
f,o,0.11099863052368164
o,r,0.0989992618560791
r,space,0.12600207328796387
w,h,0.11403822898864746
h,i,0.06396770477294922
i,c,0.10599446296691895
c,h,0.09600186347961426
h,space,0.07599759101867676
t,h,0.12299990653991699
h,e,0.11899590492248535
e,y,0.13100337982177734
y,space,0.11699652671813965
h,e,0.0690007209777832
e,r,0.09700417518615723
r,e,0.12599873542785645
e,space,0.12699484825134277
g,a,0.14200043678283691
a,v,0.14405608177185059
v,e,0.18900227546691895
e,space,0.13594317436218262
t,h,0.1039426326751709
h,e,0.07303428649902344
e,space,0.0960228443145752
l,a,0.28000450134277344
a,s,0.10699701309204102
s,t,0.14100217819213867
t,space,0.12400197982788086
f,u,0.1149451732635498
u,l,0.16503524780273438
l,l,0.14396047592163086
l,space,0.1119999885559082
m,e,0.08204293251037598
e,a,0.10201501846313477
a,s,0.10494184494018555
s,u,0.22099947929382324
u,r,0.09699845314025879
r,e,0.08299899101257324
e,space,0.12200188636779785
o,f,0.08803820610046387
f,space,0.0959618091583252
d,e,0.1620008945465088
e,v,0.14752840995788574
b,e,0.21100068092346191
e,l,0.13100004196166992
l,i,0.14999914169311523
i,e,0.24303579330444336
e,v,0.21649813652038574
v,e,0.21200037002563477
e,d,0.18805551528930664
d,space,0.0999441146850586
t,o,0.10000061988830566
o,space,0.09299945831298828
b,e,0.17304229736328125
e,space,0.11595797538757324
t,h,0.1319580078125
h,e,0.05203509330749512
e,space,0.1309647560119629
s,e,0.17899608612060547
e,c,0.21405935287475586
c,o,0.0919804573059082
o,n,0.06896281242370605
n,d,0.08299612998962402
d,space,0.10600423812866211
d,r,0.1659996509552002
r,a,0.14406156539916992
a,f,0.09993839263916016
f,t,0.20800352096557617
t,space,0.10200071334838867
o,f,0.0930018424987793
f,space,0.11200189590454102
t,h,0.09304070472717285
h,e,0.08195924758911133
e,space,0.1060020923614502
s,p,0.14397907257080078
p,e,0.09696578979492188
e,e,0.17400074005126953
e,c,0.22800278663635254
c,h,0.13905596733093262
h,space,0.0949399471282959
p,r,0.10596156120300293
r,e,0.07400369644165039
e,s,0.14099788665771484
s,i,0.22800135612487793
i,d,0.0810556411743164
d,e,0.18994474411010742
e,n,0.11699938774108887
n,t,0.08603739738464355
t,space,0.1019599437713623
l,i,0.132004976272583
i,n,0.10093927383422852
n,c,0.15700173377990723
c,o,0.0800018310546875
o,l,0.20100021362304688
l,n,0.11005401611328125
n,space,0.10199856758117676
g,a,0.18204021453857422
a,v,0.10001754760742188
v,e,0.17599892616271973
e,space,0.1399831771850586
t,h,0.08200287818908691
h,i,0.06801223754882812
i,s,0.11298322677612305
s,space,0.09705638885498047
c,o,0.07103085517883301
o,p,0.10096597671508789
p,y,0.11999940872192383
y,space,0.08305191993713379
t,o,0.06400418281555176
o,space,0.11999630928039551
j,o,0.12600350379943848
o,h,0.1289994716644287
h,n,0.19099736213684082
n,space,0.12003779411315918
h,a,0.13106942176818848
a,y,0.1109316349029541
y,space,0.07700300216674805
a,space,0.11500167846679688
w,h,0.11099791526794434
h,i,0.07104015350341797
i,t,0.1189584732055664
t,e,0.08404040336608887
e,space,0.13296294212341309
h,o,0.14600157737731934
o,u,0.09203553199768066
u,s,0.11396098136901855
s,e,0.06300115585327148
e,space,0.18205642700195312
a,s,0.08896112442016602
s,s,0.19300103187561035
s,i,0.1119990348815918
i,s,0.12400341033935547
s,t,0.12099671363830566
t,a,0.18704009056091309
a,n,0.051015377044677734
n,t,0.121002197265625
t,space,0.08194518089294434
h,a,0.11995434761047363
a,y,0.1600351333618164
y,space,0.07701921463012695
a,c,0.148054838180542
c,c,0.17936944961547852
c,o,0.07100129127502441
o,m,0.09999871253967285
m,p,0.10200166702270508
p,a,0.13403630256652832
a,n,0.087005615234375
n,i,0.08995842933654785
i,e,0.1009979248046875
e,d,0.1679987907409668
d,space,0.11700439453125
l,i,0.1249997615814209
i,n,0.09293961524963379
n,c,0.06005501747131348
c,o,0.15494918823242188
o,l,0.16799712181091309
l,n,0.14105701446533203
n,space,0.13794469833374023
t,o,0.10093927383422852
o,space,0.09000253677368164
g,e,0.14699649810791016
e,t,0.10699868202209473
t,t,0.12600088119506836
t,y,0.16199994087219238
y,s,0.10799980163574219
u,backspace,0.39499902725219727
backspace,b,0.13700103759765625
b,u,0.1310577392578125
u,r,0.12194561958312988
r,g,0.19499945640563965
g,space,0.13299846649169922
a,n,0.09086894989013672
n,d,0.06700706481933594
d,space,0.12199997901916504
b,r,0.24099969863891602
r,i,0.13900399208068848
i,e,0.07399511337280273
e,f,0.1250002384185791
f,l,0.14905166625976562
l,y,0.15000700950622559
y,space,0.10495138168334961
r,e,0.09099745750427246
e,f,0.18700385093688965
f,r,0.21299958229064941
backspace,e,0.36299920082092285
e,r,0.08899950981140137
r,r,0.1770002841949463
r,e,0.13399744033813477
e,d,0.18200302124023438
d,space,0.12399578094482422
p,y,0.09799647331237793
y,t,0.1680006980895996
t,h,0.05600452423095703
h,o,0.09799742698669434
o,n,0.13499975204467773
n,space,0.10999798774719238
i,s,0.14699435234069824
s,space,0.15603971481323242
a,n,0.1301271915435791
n,space,0.08004879951477051
i,n,0.09301924705505371
n,t,0.10394120216369629
t,e,0.12700438499450684
e,r,0.10399770736694336
r,p,0.39100170135498047
p,r,0.23799872398376465
r,e,0.16199970245361328
e,t,0.14200186729431152
t,e,0.12499713897705078
e,d,0.18300104141235352
d,space,0.10804104804992676
h,i,0.07000517845153809
i,g,0.11195731163024902
g,h,0.11905622482299805
h,-,0.23494386672973633
-,l,0.2110004425048828
l,e,0.07500290870666504
e,v,0.14904117584228516
v,e,0.1639552116394043
e,l,0.11405658721923828
l,space,0.10398364067077637
g,e,0.17099761962890625
e,n,0.11601591110229492
n,e,0.0849463939666748
e,r,0.09500002861022949
r,a,0.12599682807922363
a,l,0.13704276084899902
l,space,0.10699796676635742
p,u,0.0670011043548584
u,r,0.08899712562561035
r,p,0.0950014591217041
p,o,0.13900065422058105
o,s,0.11999773979187012
s,e,0.08925223350524902
e,space,0.1569533348083496
p,r,0.14395833015441895
r,o,0.11700010299682617
o,g,0.09900069236755371
g,r,0.1490025520324707
r,a,0.12299633026123047
a,m,0.0820012092590332
m,m,0.1659994125366211
m,i,0.1210641860961914
i,n,0.0919809341430664
n,g,0.05995488166809082
g,space,0.14200425148010254
l,a,0.14106321334838867
a,n,0.08693814277648926
n,g,0.09600257873535156
g,u,0.1529991626739502
u,a,0.04599714279174805
a,g,0.11299920082092285
g,e,0.1610414981842041
e,space,0.18095922470092773
i,t,0.16401362419128418
t,s,0.21698808670043945
s,space,0.19196105003356934
d,e,0.16415929794311523
e,s,0.12703609466552734
s,i,0.1459670066833496
i,g,0.1050560474395752
g,n,0.09194087982177734
n,space,0.10100436210632324
d,backspace,0.35000109672546387
backspace,h,0.3190479278564453
h,backspace,0.3759887218475342
backspace,p,0.24100184440612793
p,h,0.11802053451538086
h,i,0.10394096374511719
i,l,0.11035943031311035
l,o,0.21863865852355957
o,s,0.13699793815612793
s,o,0.10599994659423828
o,p,0.11504793167114258
p,h,0.07599425315856934
h,y,0.2399599552154541
y,space,0.10219717025756836
e,m,0.08899807929992676
m,p,0.1379997730255127
p,h,0.12805867195129395
h,a,0.1189429759979248
a,s,0.10199880599975586
s,i,0.11603665351867676
i,z,0.12801647186279297
z,e,0.18398571014404297
e,s,0.14396023750305176
s,space,0.18000006675720215
c,o,0.10199904441833496
o,d,0.1100006103515625
d,e,0.1790006160736084
e,space,0.12128996849060059
r,e,0.06298351287841797
e,a,0.13595843315124512
a,d,0.12000083923339844
d,a,0.23004412651062012
a,b,0.14695525169372559
b,i,0.1230008602142334
i,l,0.08500218391418457
l,i,0.11899709701538086
i,t,0.1270585060119629
t,y,0.11999702453613281
y,space,0.0679471492767334
w,i,0.13394522666931152
