key,a,backspace,d,e,f,g,q,r,s,space,w
a,31,0,1,2,0,1,0,1,2,6,0
backspace,0,36,0,1,1,0,1,1,0,2,0
d,1,2,33,3,0,1,1,0,2,3,2
e,2,0,2,35,1,4,2,2,3,0,0
f,2,0,5,1,27,3,0,5,1,9,0
g,0,0,1,1,2,28,3,3,1,7,0
q,7,1,0,1,3,1,30,1,1,0,2
r,1,0,2,0,3,4,2,36,1,2,1
s,3,0,2,1,1,1,2,1,38,1,1
space,4,3,0,2,3,4,2,0,0,35,1
w,4,1,1,4,0,2,3,2,1,5,40
