key,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7
t,1517.0,1469.0,1188.0,1181.0,1116.0,134.0,130.0
r,1541.0,1471.0,1464.0,1445.0,1438.0,139.0,134.0
t,259.0,218.0,154.0,151.0,134.0,132.0,130.0
r,1541.0,1488.0,1483.0,1478.0,1474.0,1440.0,1435.0
t,1270.0,1262.0,730.0,144.0,139.0,132.0,127.0
y,1152.0,1123.0,1114.0,684.0,643.0,144.0,130.0
t,151.0,146.0,142.0,139.0,134.0,130.0,125.0
y,1219.0,1210.0,1188.0,1166.0,1135.0,142.0,127.0
t,1469.0,677.0,674.0,146.0,142.0,137.0,132.0
y,1577.0,1574.0,1145.0,149.0,144.0,139.0,134.0
t,1565.0,1560.0,1543.0,139.0,134.0,130.0,125.0
y,161.0,149.0,137.0,132.0,127.0,98.0,94.0
t,1699.0,1697.0,1694.0,1692.0,674.0,142.0,137.0
y,1116.0,1111.0,1109.0,144.0,139.0,134.0,130.0
q,727.0,725.0,137.0,134.0,122.0,120.0,86.0
q,1639.0,1553.0,1550.0,1426.0,1423.0,96.0,86.0
q,134.0,132.0,130.0,127.0,98.0,96.0,94.0
q,146.0,139.0,137.0,130.0,120.0,96.0,86.0
q,629.0,622.0,610.0,602.0,590.0,134.0,86.0
z,1920.0,1800.0,1675.0,1445.0,1430.0,1421.0,1315.0
r,682.0,146.0,139.0,134.0,125.0,120.0,115.0
z,202.0,197.0,130.0,125.0,118.0,113.0,101.0
v,199.0,180.0,144.0,139.0,132.0,122.0,118.0
z,247.0,242.0,240.0,130.0,122.0,118.0,106.0
v,1147.0,1042.0,958.0,953.0,948.0,156.0,142.0
z,221.0,168.0,163.0,149.0,122.0,118.0,89.0
v,1517.0,1462.0,1457.0,1452.0,1433.0,144.0,137.0
c,288.0,266.0,245.0,154.0,139.0,137.0,125.0
c,955.0,948.0,919.0,912.0,814.0,806.0,790.0
c,142.0,127.0,120.0,118.0,110.0,103.0,91.0
c,1126.0,1080.0,950.0,943.0,917.0,744.0,696.0
c,917.0,898.0,895.0,878.0,876.0,874.0,96.0
b,1711.0,1517.0,1440.0,1428.0,1322.0,1106.0,1099.0
b,1454.0,1174.0,1150.0,1138.0,1126.0,1114.0,137.0
b,1735.0,1711.0,1699.0,1459.0,1126.0,1118.0,1106.0
b,689.0,682.0,674.0,638.0,139.0,120.0,113.0
b,1142.0,1126.0,1118.0,1114.0,1102.0,1090.0,142.0
b,228.0,226.0,223.0,144.0,142.0,122.0,115.0
a,252.0,199.0,178.0,173.0,168.0,132.0,108.0
d,110.0,108.0,106.0,103.0,101.0,98.0,96.0
Space,190.0,185.0,180.0,175.0,98.0,94.0,89.0
y,170.0,139.0,115.0,108.0,106.0,98.0,82.0
u,1462.0,958.0,271.0,266.0,96.0,94.0,91.0
i,660.0,254.0,247.0,137.0,113.0,98.0,91.0
o,199.0,180.0,142.0,110.0,103.0,96.0,89.0
p,281.0,274.0,242.0,202.0,197.0,194.0,192.0
e,965.0,958.0,950.0,252.0,247.0,108.0,103.0
t,235.0,89.0,82.0,79.0,77.0,74.0,65.0
y,151.0,144.0,125.0,118.0,110.0,103.0,96.0
i,804.0,802.0,770.0,144.0,142.0,139.0,108.0
i,677.0,439.0,365.0,302.0,295.0,221.0,209.0
m,144.0,139.0,125.0,118.0,113.0,106.0,101.0
o,271.0,269.0,252.0,247.0,240.0,238.0,233.0
p,86.0,84.0,82.0,79.0,77.0,74.0,72.0
l,737.0,677.0,187.0,156.0,139.0,134.0,122.0
e,1495.0,250.0,242.0,214.0,178.0,170.0,146.0
t,228.0,178.0,170.0,168.0,158.0,149.0,108.0
i,235.0,185.0,178.0,168.0,146.0,137.0,101.0
n,175.0,151.0,144.0,137.0,118.0,108.0,101.0
m,953.0,149.0,142.0,115.0,108.0,106.0,98.0
o,120.0,113.0,106.0,103.0,96.0,89.0,82.0
l,185.0,178.0,118.0,110.0,108.0,101.0,86.0
j,175.0,168.0,146.0,139.0,132.0,113.0,103.0
p,197.0,190.0,182.0,113.0,106.0,101.0,98.0
r,1219.0,1200.0,1154.0,1147.0,766.0,727.0,720.0
t,341.0,317.0,307.0,290.0,254.0,238.0,197.0
i,108.0,106.0,103.0,101.0,98.0,96.0,94.0
o,1222.0,1219.0,1217.0,1214.0,1212.0,1210.0,1207.0
r,137.0,106.0,103.0,101.0,98.0,96.0,94.0
t,233.0,202.0,190.0,182.0,163.0,154.0,146.0
y,197.0,194.0,192.0,190.0,187.0,185.0,146.0
u,701.0,269.0,264.0,257.0,226.0,197.0,182.0
Space,379.0,355.0,242.0,190.0,178.0,144.0,94.0
w,190.0,187.0,151.0,139.0,118.0,106.0,103.0
q,271.0,264.0,257.0,250.0,218.0,199.0,187.0
Space,274.0,271.0,250.0,242.0,240.0,233.0,226.0
b,168.0,166.0,149.0,146.0,113.0,110.0,96.0
n,271.0,269.0,250.0,247.0,235.0,228.0,221.0
l,312.0,305.0,290.0,182.0,158.0,151.0,144.0
p,276.0,271.0,269.0,233.0,197.0,175.0,139.0
u,242.0,194.0,187.0,175.0,130.0,103.0,91.0
y,1054.0,926.0,691.0,118.0,113.0,108.0,101.0
