key,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128
space,-1.9954529,-0.36497584,1.2706292,-0.6105706,-1.0640451,-1.4563658,-0.7114678,-0.12827644,-3.672664,-1.1703826,-0.64294016,-1.2097871,-0.7010175,-0.5027045,-0.4683903,0.701322,-0.16017477,0.009563714,-0.8541903,-0.012924343,-0.11545284,-0.5423585,-0.8827171,-0.5749346,0.32259884,0.65434957,0.0374541,-0.44879213,0.4982822,-0.7755463,-0.3236641,-0.40643597,0.33803266,0.46734875,0.35101935,-0.5887821,-0.9855378,-1.4999009,-1.9738811,0.20782071,0.8338257,-1.4949878,0.4834887,-0.6337373,0.3680692,-0.65765274,0.40056437,0.19703454,0.12799275,0.48550442,-0.6096531,-1.322631,-1.2920581,-1.3147296,0.4258793,-0.7531131,0.38055062,0.14858827,-0.44057372,-0.32167873,0.35388407,-0.8755138,-0.7151808,-1.8154482,-0.14512952,-0.14081874,-0.8821072,0.7568689,-0.41325945,-0.74699354,0.08855653,-0.7633588,0.28517127,-1.432039,0.04951307,0.20540111,-1.1562127,0.47745952,-0.27969882,0.8786168,-0.5246879,1.715251,-0.101344496,-1.5641979,0.6032336,0.48259845,-0.07943353,0.15233758,-0.69112575,0.54025817,-1.2031507,0.948709,-1.3208159,0.5878253,0.07511243,0.6257437,-1.0912294,-1.1887435,0.13967709,-0.56352603,-0.71877956,0.38645816,-0.5135513,-0.045624375,-1.4837663,-1.6582947,-0.3057142,-1.9514034,0.3917693,-0.7240234,-0.49844724,-0.22445068,0.24719036,-1.2168617,-0.25373328,-0.5162816,-0.30000332,-0.4546081,-0.66183674,-0.27267662,-0.57675785,-0.48526752,-1.3443308,-0.35951346,0.031245705,-1.7515175,-0.3307798,-0.055617094
space,-1.6971014,-0.34722623,0.53158456,-0.5632455,-1.1292675,-1.7343837,-0.65949005,-0.45845178,-3.291436,-0.985505,-0.33522204,-0.97164243,-0.87867045,-0.15841708,-0.6237379,0.53939146,0.10661291,0.019150078,-0.3046041,0.008430779,-0.11733815,-0.21816224,-0.5699683,-0.65988564,0.21824257,0.612587,0.3456046,-0.049310576,0.5001076,-0.43545884,-0.129302,-0.15414241,0.1347836,0.21182333,0.10843892,-0.23305841,-0.5807039,-1.569345,-1.6414922,0.25618002,0.78745604,-1.276389,0.32800716,-0.5870163,0.5207044,-0.68625236,0.6232608,0.31583324,0.03679377,0.4475444,-0.5179467,-1.0651342,-1.4607292,-1.5639589,0.45214933,-0.67668676,0.55876255,-0.07027103,-0.37990668,-0.43030065,0.2642447,-0.78337824,-0.57590616,-1.4220551,-0.10226856,-0.08039487,-0.41062063,0.798326,-0.4589391,-0.44548455,-0.008294402,-0.6933146,0.13436098,-1.3495462,-0.10330784,0.26776215,-1.4120679,0.4710706,-0.22898355,0.64580905,-0.6288375,1.5036535,0.00652945,-1.5961671,0.27043226,0.50458753,0.3172874,0.26743278,-0.18317248,0.57493234,-0.96835506,0.5660058,-1.3595788,0.50474274,0.101056695,0.93169934,-0.8849942,-0.81394106,0.0945141,-0.48830962,-0.6757568,0.36098415,-0.48555988,-0.14601037,-2.0056825,-1.2897849,-0.2550915,-1.7811847,0.26086134,-0.31082615,-0.6180069,-0.32578686,0.018355332,-1.1504649,-0.33881897,-0.5689962,-0.23562303,-0.14793277,-0.7836895,0.043463,-0.35874444,-0.25236374,-1.3013338,-0.3802157,-0.15255201,-1.3097211,-0.101191744,0.14460677
space,-1.4825292,-0.18570423,0.8138866,-0.3704997,-0.6729075,-1.3423151,-0.66948485,0.002496149,-2.8154292,-0.94125223,-0.27525112,-0.88341707,-0.32906017,-0.38311535,-0.23352864,0.36674616,-0.08348973,0.112110615,-0.68238556,0.046139,0.06065274,-0.41375446,-0.6280332,-0.6242734,0.40057242,0.47741878,-0.0041973,-0.35300437,0.4499154,-0.3587575,-0.11153459,-0.4549862,0.5736845,0.40050465,0.3075191,-0.3522908,-0.64311486,-0.8285503,-1.1099336,0.07445121,0.469734,-0.8342488,0.51600164,-0.34692746,0.1806635,-0.69556403,0.52777076,0.36009532,0.012775153,0.5446637,-0.5521363,-0.77150273,-1.4697111,-1.036531,0.46060088,-0.44359303,0.45911872,0.19397837,-0.1192497,-0.20553079,0.12040652,-0.62079936,-0.76710695,-1.5019423,-0.29083118,-0.07531026,-0.29084516,0.7196366,-0.387807,-0.610718,0.22991766,-0.56651634,0.19454488,-1.2069712,0.10511,0.50737315,-0.7226073,0.41632026,-0.043002903,0.8390547,-0.43031862,1.0110286,0.1882674,-1.1856754,0.41174266,0.07125589,0.13744587,0.6520809,-0.3770259,0.51656157,-0.6765803,0.35080877,-1.2018175,0.68117356,0.19970152,0.60234183,-0.7618347,-0.93694466,-0.32117027,-0.34934485,-0.18842505,0.39299792,-0.42552018,0.17648245,-1.3022436,-1.0928925,0.059171736,-1.3545464,0.40332955,-0.8984183,-0.5284035,-0.25257763,0.3117485,-0.4504824,-0.05702077,-0.22200131,-0.007653564,-0.14686662,-0.72827125,-0.20362431,-0.39516538,-0.42183712,-0.76457185,-0.27290177,-0.16527629,-1.5378128,-0.16070966,0.108769774
space,-1.6911979,-0.20505062,0.7330893,-0.64326406,-0.81474215,-1.6288528,-0.81395566,-0.016666777,-3.3398783,-1.1817715,-0.30935118,-0.9865001,-0.4457556,-0.27438846,-0.38528615,0.46199858,0.025732122,0.06552273,-0.59569234,-0.004007071,-0.06975949,-0.4000035,-0.70225483,-0.66921186,0.69433165,0.35156903,-0.030589163,-0.3546133,0.44558167,-0.4281382,-0.08950018,-0.49155098,0.50127363,0.28803584,0.02187323,-0.3894971,-0.6259261,-1.1537071,-1.4631672,0.07830906,0.60788417,-0.90924364,0.5924434,-0.50752604,0.37195098,-0.8677881,0.5981167,0.23338825,0.09075154,0.4905228,-0.6430657,-0.95818853,-1.6825378,-1.335585,0.5467131,-0.6286949,0.4787323,-0.032073125,-0.32210353,-0.2851843,0.16457367,-0.69872993,-0.75143766,-1.7931484,-0.23170954,-0.063256755,-0.44978547,0.7555298,-0.45889163,-0.7377238,0.11563352,-0.76734513,0.17723525,-1.2046331,-0.032922596,0.39876607,-0.878541,0.4202561,-0.17818701,0.9835587,-0.5967125,0.7866175,0.40772146,-1.295051,0.5955142,-0.027288914,0.061599463,0.7994242,-0.34856552,0.7689203,-0.81009316,0.5991241,-1.4862003,1.0471185,0.1237607,0.5322891,-0.7929519,-0.82695735,-0.3427124,-0.44519955,-0.35712826,0.1658153,-0.43486035,0.04502228,-1.5466499,-1.2244501,-0.13590789,-1.5762181,0.27248326,-0.8331299,-0.81570303,-0.30896482,0.38100386,-0.67542624,-0.15533341,-0.47524568,-0.12538716,0.07262623,-0.8648248,-0.0872222,-0.42697567,-0.36556628,-1.0736773,-0.45994514,-0.13425568,-1.6973364,-0.3198325,0.05817154
space,-1.2989848,-0.24925265,0.5264021,-0.5350252,-0.8685398,-1.5598634,-0.2824,-0.19570982,-2.7064857,-0.64043385,-0.27768973,-0.7759744,-0.5530258,-0.086514086,-0.36093175,0.5817566,0.13678633,0.032818258,-0.13125691,0.10110736,0.07336752,-0.05853975,-0.4450476,-0.36094716,0.19982061,0.65827143,0.28074247,-0.028953712,0.4637857,-0.29333335,-0.026310526,-0.10999912,0.50726694,0.20407638,0.38227615,-0.22138678,-0.4580999,-1.2668093,-1.1735533,0.29547343,0.7814555,-0.88744,0.3962734,-0.4592389,0.46008718,-0.4725035,0.26935303,0.22025174,0.11990842,0.2501228,-0.5591558,-0.6523786,-1.3026018,-0.98202497,0.39727283,-0.5992986,0.36588937,0.04845287,-0.11612967,-0.30071253,0.37322652,-0.5828898,-0.39113796,-1.1469387,-0.28152695,-0.10319423,-0.306724,0.7352351,-0.24337386,-0.49862877,0.023512831,-0.521297,0.13676928,-0.9444378,-0.12622115,0.22178861,-1.097679,0.39294425,-0.40806356,0.5334087,-0.52156603,1.667294,0.09624319,-1.2712885,0.21868502,0.5135479,0.4912507,0.1277912,-0.19452696,0.4585011,-0.67697656,0.6006993,-0.9590466,0.77685905,-0.08964667,0.7394438,-1.0037752,-0.65670675,0.07390057,-0.58261526,-0.6301257,0.34924728,-0.39145538,-0.21455535,-1.9484469,-1.0472332,-0.2031737,-1.5513499,0.05789137,-0.18666388,-0.63480765,-0.15662548,-0.04951214,-0.52483153,-0.36407477,-0.40509364,-0.14119363,-0.20576024,-0.5514158,0.06270197,-0.29987526,-0.32657963,-1.0908308,-0.2807712,-0.097208776,-1.040805,-0.13633873,0.10192238
space,-0.65576077,-0.18149027,0.33891633,-0.41327903,-0.575053,-1.2336644,-0.25167388,-0.1813421,-2.3782866,-0.5395378,-0.014380217,-0.65479696,-0.28191978,0.108166724,-0.21692893,0.4557218,0.13718417,0.10866696,0.03190218,0.25623277,-0.023733445,0.030231655,-0.44809866,-0.1340812,0.21596158,0.3509859,0.34713823,0.15302739,0.2772601,-0.3642401,0.08214374,-0.070221394,0.3196452,0.13436925,0.29014573,-0.062235087,-0.18422881,-0.9642779,-0.88532853,0.31339857,0.62402475,-0.815813,0.33075503,-0.36584562,0.38268775,-0.186999,0.3262483,0.4094516,0.30867183,0.12552035,-0.25855374,-0.67112774,-0.9937644,-0.7142057,0.51241213,-0.58204335,0.4660607,0.31510535,0.09246959,-0.3056745,0.38677993,-0.35556996,-0.29271936,-0.94509834,-0.19226453,-0.068780534,-0.20083708,0.66967565,-0.28476593,-0.37168148,0.05977475,-0.3119045,0.31558686,-0.553677,-0.00273177,0.21971491,-0.9317923,0.3913734,-0.092930645,0.5195462,-0.4934285,1.3072433,0.14836547,-0.8919807,0.20768625,0.40273,0.61794055,0.19936931,-0.011922255,0.31942225,-0.68475986,0.54361856,-0.74309754,0.65172774,0.05792153,0.8887594,-0.6564275,-0.4987218,-0.024571618,-0.39840066,-0.48815265,0.33995122,-0.2864134,-0.13510838,-1.497425,-0.5495376,-0.03305155,-0.9681184,0.16325766,-0.078347765,-0.40143144,0.030702472,-0.026425175,-0.5246279,-0.29762977,-0.28007895,-0.18196553,-0.097779915,-0.40460774,0.07323878,-0.22979324,-0.31517878,-0.7850367,-0.0940181,0.009128585,-0.5697142,0.17326345,-0.011665404
space,-3.0867212,-0.21939495,0.9960948,-1.0207974,-2.161335,-2.5514271,-0.5082638,-0.7516477,-4.3142676,-1.6723688,-0.30144987,-0.94291025,-1.8079388,-0.6117211,-0.76658016,0.8361894,0.09994609,-0.1040813,-1.0198766,-0.076102644,-0.18396999,-0.5181428,-0.28952596,-1.7461817,0.26748294,1.1834294,-0.0082739,-0.49413085,0.9838471,-0.3170792,-0.059431322,-0.36359572,0.32890832,0.27191418,-0.03177279,-0.64808667,-0.9431998,-2.613321,-1.9714652,-0.143204,1.308136,-1.5613289,0.94526184,-0.60331714,0.17832503,-1.0260878,0.4989919,-0.30856854,-0.6432858,0.55743307,-0.6721043,-1.4572726,-1.9655659,-2.2237284,0.33092222,-0.79080546,0.3179521,-0.42350942,-0.9684415,-0.055830173,0.19302055,-1.2112814,-0.746563,-1.3831091,-0.19641301,-0.23044676,-1.0793083,0.85361767,-0.1946408,-0.8803991,0.39612183,-0.9052673,-0.34316456,-2.2427304,0.05568394,0.45339203,-2.0328166,0.055863142,-0.68220246,0.9243012,-0.57202697,1.748909,-0.74321306,-2.3887293,0.24798876,0.64763826,0.30030614,0.013133615,-0.696328,1.1700251,-1.1249167,0.79262877,-1.5830634,0.22052586,0.07080275,1.0952297,-1.0617003,-1.272301,0.25175887,-0.7984773,-0.7335235,0.038571775,-0.6323952,-0.18571237,-2.922358,-2.1186,-0.623198,-3.3446853,-0.14321461,-0.538972,-0.92864996,-1.096721,0.43618798,-1.4914942,-0.24381287,-0.8530446,-0.4866958,-0.11436701,-1.4871958,-0.08680223,-0.5184341,-0.15779409,-1.847095,-0.5221747,-0.1509369,-2.3969994,-0.10588059,0.21082933
space,-1.7117066,-0.18789607,0.7741411,-0.46728167,-1.0287365,-1.7071904,-0.8310759,-0.09863926,-3.4614825,-1.0072004,-0.37023863,-1.0801128,-0.61542344,-0.25790387,-0.3168119,0.5066718,0.05952391,0.015240699,-0.73316425,-0.000464112,0.031836983,-0.32493865,-0.6504806,-0.7130313,0.57990444,0.42375088,-0.098133415,-0.27142707,0.4564168,-0.4187963,-0.024075113,-0.59443533,0.6088852,0.35666385,0.035174407,-0.49546742,-0.6470579,-0.9853674,-1.5212934,0.11875562,0.5283228,-1.0873035,0.6637377,-0.45756072,0.31820533,-0.9798969,0.7136155,0.29076117,0.029287815,0.43496886,-0.6198439,-0.89559793,-1.629018,-1.3732663,0.5282979,-0.48197642,0.51368016,0.04581161,-0.38326737,-0.28482118,0.12373908,-0.74453646,-0.6808587,-1.8140651,-0.16511624,-0.09875722,-0.542154,0.8180889,-0.4651038,-0.7780006,0.1527256,-0.772874,0.09953846,-1.2639513,-0.015819088,0.49423704,-0.87554485,0.43764853,-0.19999465,0.7432987,-0.54555196,0.91985536,0.17120835,-1.2970972,0.6027049,0.010428429,0.105569065,0.6487385,-0.39344817,0.9511471,-0.91642714,0.50522494,-1.4517642,0.76286364,0.201837,0.6515513,-0.7642358,-0.8305447,-0.16738251,-0.43049234,-0.37044844,0.27196848,-0.54635626,0.005053848,-1.8690356,-1.3669035,-0.2105133,-1.6842414,0.23699148,-0.81098455,-0.78330654,-0.30905113,0.4437028,-0.7237031,-0.20022835,-0.4170864,-0.07869965,-0.11256635,-0.90751636,0.032463,-0.38967472,-0.37017345,-1.0301149,-0.48617727,-0.09399358,-1.7495193,-0.26464826,0.092145234
space,-2.4380538,-0.46681926,0.7834592,-0.5874811,-1.3017414,-2.4583516,-1.3655319,-0.11315509,-5.0449247,-1.3583312,-0.81322086,-1.7422119,-0.761013,-0.33390713,-0.82857555,0.68546563,0.21492848,0.12427786,-0.66069126,-0.13095269,-0.1466551,-0.6950958,-0.8202478,-0.82223713,0.5458626,0.40816593,-0.118356526,-0.1348949,0.7649312,-0.6582238,-0.09695523,-0.46231705,0.562776,0.44102952,0.09669331,-0.44490534,-0.9787275,-1.9543848,-2.2101843,0.17145401,0.8188417,-1.6058854,0.90509605,-0.7621306,0.45317733,-1.5220429,0.7919643,0.4400277,0.12712595,0.5591934,-0.81415266,-1.2343868,-2.1761832,-1.962093,0.6420877,-0.90252864,0.5817573,-0.21220888,-0.4754096,-0.6310855,0.19361912,-1.1982473,-1.101913,-2.5854373,-0.013130449,-0.17170462,-0.8061567,0.9759273,-0.6326014,-1.0561848,0.025391994,-1.0465755,-0.14793296,-1.2180312,-0.12932307,0.505351,-1.5131612,0.60675126,-0.38450685,0.7490294,-0.8669131,0.82170147,0.13150492,-1.8695,0.38849854,0.05020684,-0.11383745,0.66178346,-0.3224405,1.0187001,-1.3527374,0.86543894,-2.2239902,0.29386693,0.19397171,0.72100425,-0.96232927,-0.78951883,-0.012773186,-0.60672,-0.65281403,0.14020848,-0.758149,-0.08002886,-3.0017266,-1.598614,-0.43312544,-2.2556393,0.31944215,-0.7484482,-1.0357428,-0.36971572,0.58975905,-1.4509257,-0.37972105,-0.85058296,-0.34144154,0.01851518,-1.3055745,0.15507045,-0.68653023,-0.3787025,-1.6435635,-0.7016024,-0.3062802,-2.362645,-0.48982984,0.14343467
space,-2.9453764,-0.44339553,0.8634036,-0.8211894,-1.6507427,-2.4438264,-0.9310463,-0.36457166,-4.5922565,-1.5023681,-0.5516348,-1.4255974,-1.2927276,-0.44202876,-0.7997427,0.8763095,0.15437391,-0.03676489,-0.78034747,-0.197566,-0.10961656,-0.55290806,-0.6954513,-1.2998319,0.35932142,0.74404097,0.08154592,-0.32255152,0.7785402,-0.48912507,-0.09851555,-0.49583513,0.4294986,0.3654572,0.000767948,-0.53370655,-0.8822066,-2.220059,-2.1238146,0.04056272,1.0475885,-1.6667709,0.8263057,-0.7430777,0.32714197,-1.173023,0.6280461,0.09438625,-0.20925307,0.5904957,-0.85224944,-1.3981893,-2.1915975,-1.9650117,0.40844747,-0.7904136,0.54709536,-0.26968062,-0.69286704,-0.38612363,0.23247641,-1.2246281,-0.9117355,-2.0653799,-0.051971793,-0.17131868,-0.8271185,0.9797458,-0.5405352,-0.9905566,0.22127695,-1.0165296,-0.18254559,-1.888157,-0.075932145,0.37533283,-1.8174676,0.3978874,-0.49210456,0.80528414,-0.7580431,1.3508384,-0.19529936,-2.287653,0.41737786,0.39558473,0.113689765,0.29564482,-0.5832339,1.1538844,-1.2368792,0.79087996,-1.8638763,0.4020523,0.13757476,0.83429885,-1.0305587,-1.0622606,0.06828147,-0.70156646,-0.70190686,0.17629683,-0.692002,-0.21416464,-2.8989766,-1.8318155,-0.5490289,-2.9756362,0.118910134,-0.67152184,-1.0376332,-0.74926984,0.32900155,-1.5170087,-0.3125608,-0.8139448,-0.40619537,-0.17035367,-1.3049325,0.08976843,-0.64450914,-0.23849693,-1.6995572,-0.63141906,-0.17807868,-2.3717563,-0.39792633,0.18412358
