key,freq_bin_1,freq_bin_2,freq_bin_3,freq_bin_4,freq_bin_5,freq_bin_6,freq_bin_7,freq_bin_8,freq_bin_9,freq_bin_10,freq_bin_11,freq_bin_12,freq_bin_13,freq_bin_14,freq_bin_15,freq_bin_16
space,0.3639658064069453,0.7038148371919442,1.0,0.9014602829942939,0.4244468184891417,0.09639207412896933,0.08091262772798863,0.11652011449096915,0.12058565599914062,0.0631904208565095,0.05870980827812223,0.015613558372007978,0.07468108589894486,0.03007211010264111,0.012849254611859677,0.019150227736673752
space,0.8723853345625701,1.0,0.6332649801572037,0.08307123384167789,0.1326890358346017,0.07701954295087718,0.10287079433709909,0.07243911284668444,0.009540797630718785,0.02072543103869213,0.017738961528613213,0.01159953033603997,0.0024726925407188567,0.01787885839075135,0.013117141958637297,0.0042576082330635975
space,1.0,0.6034642847529652,0.11489018874561466,0.03924625089129846,0.038883587511570804,0.010825795343911544,0.009039086568914237,0.014224093361674265,0.008009860028929694,0.0064482815051926014,0.0062429459236912335,0.0038199842312315324,0.0040201088069805905,0.0010091599521647198,0.004263157592684954,0.006818259076476735
space,1.0,0.948219734823844,0.5213969782928786,0.2640913470244587,0.2308169329609203,0.08978640904482892,0.09640031754416566,0.08199032381793987,0.07015442642168075,0.0809121732722007,0.02426142167980066,0.04479500752764775,0.10353944364884474,0.02245341734396184,0.08157996306918704,0.10475596232588726
space,1.0,0.6111377708025736,0.06781889430310066,0.04115231197309911,0.023845221128792178,0.02729928089653098,0.032218024919395113,0.03409879454501917,0.03753282288260256,0.02215595429868267,0.01490019797780166,0.01009344208324029,0.0032752048383541546,0.0022137857259812593,0.00240777488071106,0.0017692193100059806
space,1.0,0.6077259415834682,0.14241975127937945,0.028517928272964718,0.04064042339910306,0.06554114093739334,0.04351769281687227,0.05653625204747463,0.04227155576141869,0.02228938293439736,0.015553749638194342,0.006617939188827482,0.006529288274422717,0.007189628523212908,0.0041912006944919075,0.009708693729054826
space,1.0,0.6486902640853439,0.1412047920219644,0.04122488011789313,0.042411925972603036,0.027860089948031633,0.00962498254986984,0.02122520019333269,0.012497623156456063,0.011210720075678719,0.02294182172175572,0.015593262981132,0.008834642426861172,0.0056116337855807484,0.006760818960518485,0.014464512062891424
space,1.0,0.6241922962745463,0.11911764121819644,0.012135564357377551,0.020478611424907867,0.034230998065863515,0.012717488599859585,0.010536415467943904,0.01806517683636615,0.028250308152050013,0.0335149212312161,0.012994642056305772,0.009221267386846442,0.011137885354000355,0.01588035299535193,0.005563628017258946
space,0.47567420058060406,0.9968022275567514,1.0,0.23517968206707696,0.03886722599941468,0.055196829687989994,0.10440610145277279,0.09179335945565163,0.05585614576619081,0.0461824677230281,0.06321899636901829,0.0535084908144503,0.015096596555915602,0.018216933864684814,0.05490283315496568,0.11200876733037053
space,0.8451844459368585,1.0,0.5308698773988332,0.08009868329548536,0.139713813528909,0.11934596570465275,0.11408003861449532,0.0951974434050021,0.13842103442089454,0.07133030205152481,0.07509936214037649,0.030622043291842187,0.018501785104685288,0.02533191843169389,0.02397760681126227,0.04668812748891808
space,1.0,0.5731060374358324,0.053760015037243085,0.058883439908856715,0.04683746776339835,0.018794833276871,0.018578830689504357,0.025666569568266528,0.019005167616371235,0.009371989108406096,0.009792771052782735,0.008645279851000397,0.0005840932774169497,0.00444093412700791,0.0036993713741902555,0.004865897994212612
